latency,accuracy,system,diameter
0.002,0.9100000000000004,CC,5.065629575550744
0.002,0.9200000000000004,F1,2.1796727041833286
0.002,0.9200000000000004,CC,5.0622396982192726
0.002,0.9300000000000004,F1,2.1793262105889077
0.002,0.9300000000000004,CC,5.059248629985612
0.002,0.9400000000000004,F1,2.179025916140411
0.002,0.9400000000000004,CC,5.056656370849774
0.002,0.9500000000000004,F1,2.1787718208378344
0.002,0.9500000000000004,CC,5.054462920811753
0.002,0.9600000000000004,F1,2.1785639246811783
0.002,0.9600000000000004,CC,5.052668279871561
0.002,0.9700000000000004,F1,2.1784022276704498
0.002,0.9700000000000004,CC,5.051272448029204
0.002,0.9800000000000004,F1,2.178286729805638
0.002,0.9800000000000004,CC,5.050275425284639
0.002,0.9900000000000004,F1,2.1782174310867646
0.002,0.9900000000000004,CC,5.049664767242689
0.003,0.5,F1,2.2590436012968773
0.003,0.5,CC,6.116010717416785
0.003,0.51,F1,2.2545028770541116
0.003,0.51,CC,6.092695197261023
0.003,0.52,F1,2.2500538846142177
0.003,0.52,CC,6.069850697714493
0.003,0.53,F1,2.2460505536154542
0.003,0.53,CC,6.047477218777146
0.003,0.54,F1,2.242212998085325
0.003,0.54,CC,6.0255747604489756
0.003,0.55,F1,2.2384579706311207
0.003,0.55,CC,6.004143322730066
0.003,0.56,F1,2.2349142963877995
0.003,0.56,CC,5.983182905620389
0.003,0.5700000000000001,F1,2.2317127916569888
0.003,0.5700000000000001,CC,5.9626935091198305
0.003,0.5800000000000001,F1,2.228584884736083
0.003,0.5800000000000001,CC,5.942675133228548
0.003,0.5900000000000001,F1,2.225530575625072
0.003,0.5900000000000001,CC,5.923127777946455
0.003,0.6000000000000001,F1,2.222549864323966
0.003,0.6000000000000001,CC,5.904051443273545
0.003,0.6100000000000001,F1,2.2199624782118192
0.003,0.6100000000000001,CC,5.8854461292098605
0.003,0.6200000000000001,F1,2.2174610059203133
0.003,0.6200000000000001,CC,5.867311835755395
0.003,0.6300000000000001,F1,2.2150245069350945
0.003,0.6300000000000001,CC,5.849648562910112
0.003,0.6400000000000001,F1,2.2126529812561344
0.003,0.6400000000000001,CC,5.832456310674111
0.003,0.6500000000000001,F1,2.2103464288834545
0.003,0.6500000000000001,CC,5.815735079047229
0.003,0.6600000000000001,F1,2.208142541215043
0.003,0.6600000000000001,CC,5.799484868029573
0.003,0.6700000000000002,F1,2.2062434578954004
0.003,0.6700000000000002,CC,5.783705677621079
0.003,0.6800000000000002,F1,2.2044010636300797
0.003,0.6800000000000002,CC,5.768397507821895
0.003,0.6900000000000002,F1,2.20261535841907
0.003,0.6900000000000002,CC,5.753560358631873
0.003,0.7000000000000002,F1,2.2008863422623826
0.003,0.7000000000000002,CC,5.739194230051034
0.003,0.7100000000000002,F1,2.199214015160017
0.003,0.7100000000000002,CC,5.725299122079427
0.003,0.7200000000000002,F1,2.1975983771119623
0.003,0.7200000000000002,CC,5.711875034716996
0.003,0.7300000000000002,F1,2.1960394281182225
0.003,0.7300000000000002,CC,5.698921967963756
0.003,0.7400000000000002,F1,2.194537168178808
0.003,0.7400000000000002,CC,5.686439921819833
0.003,0.7500000000000002,F1,2.193225866073874
0.003,0.7500000000000002,CC,5.674428896285043
0.003,0.7600000000000002,F1,2.1920307104326504
0.003,0.7600000000000002,CC,5.662888891359422
0.003,0.7700000000000002,F1,2.1908843366543387
0.003,0.7700000000000002,CC,5.651819907043077
0.003,0.7800000000000002,F1,2.189786744738928
0.003,0.7800000000000002,CC,5.641221943335935
0.003,0.7900000000000003,F1,2.188737934686422
0.003,0.7900000000000003,CC,5.631095000237991
0.003,0.8000000000000003,F1,2.187737906496835
0.003,0.8000000000000003,CC,5.621439077749258
0.003,0.8100000000000003,F1,2.1867866601701387
0.003,0.8100000000000003,CC,5.61225417586968
0.003,0.8200000000000003,F1,2.185884195706361
0.003,0.8200000000000003,CC,5.603540294599362
0.003,0.8300000000000003,F1,2.185030513105481
0.003,0.8300000000000003,CC,5.595297433938228
0.003,0.8400000000000003,F1,2.18422561236752
0.003,0.8400000000000003,CC,5.587525593886333
0.003,0.8500000000000003,F1,2.183469493492467
0.003,0.8500000000000003,CC,5.580224774443614
0.003,0.8600000000000003,F1,2.1827621564803117
0.003,0.8600000000000003,CC,5.573394975610107
0.003,0.8700000000000003,F1,2.182103601331068
0.003,0.8700000000000003,CC,5.567036197385761
0.003,0.8800000000000003,F1,2.181493828044726
0.003,0.8800000000000003,CC,5.561148439770726
0.003,0.8900000000000003,F1,2.1809328366213023
0.003,0.8900000000000003,CC,5.555731702764817
0.003,0.9000000000000004,F1,2.180420627060773
0.003,0.9000000000000004,CC,5.550785986368183
0.003,0.9100000000000004,F1,2.1799571993631552
0.003,0.9100000000000004,CC,5.546311290580675
0.003,0.9200000000000004,F1,2.179542553528446
0.003,0.9200000000000004,CC,5.542307615402436
0.003,0.9300000000000004,F1,2.1791990281353186
0.003,0.9300000000000004,CC,5.538774960833379
0.003,0.9400000000000004,F1,2.17893063663643
0.003,0.9400000000000004,CC,5.535713326873555
0.003,0.9500000000000004,F1,2.1787035361373803
0.003,0.9500000000000004,CC,5.5331227135228715
0.003,0.9600000000000004,F1,2.178517726638148
0.003,0.9600000000000004,CC,5.531003120781442
0.003,0.9700000000000004,F1,2.178373208138755
0.003,0.9700000000000004,CC,5.529354548649231
0.003,0.9800000000000004,F1,2.178269980639179
0.003,0.9800000000000004,CC,5.5281769971262165
0.003,0.9900000000000004,F1,2.178208044139435
0.003,0.9900000000000004,CC,5.527456061431877
0.004,0.5,F1,2.2593821899290134
0.004,0.5,CC,6.293532982009133
0.004,0.51,F1,2.2548374536766893
0.004,0.51,CC,6.2695066193149245
0.004,0.52,F1,2.250384530277941
0.004,0.52,CC,6.245965637685266
0.004,0.53,F1,2.2461515756237382
0.004,0.53,CC,6.222910037120137
0.004,0.54,F1,2.242450871237125
0.004,0.54,CC,6.200339817619536
0.004,0.55,F1,2.2388297518910854
0.004,0.55,CC,6.178254979183457
0.004,0.56,F1,2.235288217585609
0.004,0.56,CC,6.156655521811935
0.004,0.5700000000000001,F1,2.2318262683207166
0.004,0.5700000000000001,CC,6.1355414455048845
0.004,0.5800000000000001,F1,2.2285464049650265
0.004,0.5800000000000001,CC,6.114912750262427
